,track,album,album_cover,artist,sample,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,lyrics
10,Sueles Dejarme Solo,Cancion Animal (Remastered),https://i.scdn.co/image/ab67616d0000b273c451ed28353639e79b4d97d9,Soda Stereo,https://p.scdn.co/mp3-preview/bdd1f25a93b6ab952e9d88da30e82ea863af4cc3?cid=b1e13d47b67249bda69ed912bb4f7133,1990-10-09,226920,57,0.000293,0.409,0.71,0.51,0.0827,-6.686,0.0293,153.638,4," 
 
  
 Nena nunca voy a ser un superhombre 
 Y sueles dejarme solo 
 Estoy abriendo el juego un juego eléctrico 
 Y sueles dejarme solo 
 
  
 Ay ay ay 
 Sin respuesta 
  
 El riesgo es el camino más intenso 
 Y sueles dejarme solo 
 Afuera el frío embiste adentro el vértigo 
 Y sueles dejarme solo 
 
  
 Ay ay ay 
 
  
 
  
 Nena nunca voy a ser un superhombre 
 Y sueles dejarme solo 
 
  
 Sueles dejarme solo 
 Sueles dejarme solo"
11,Pic Nic En El 4deg B,Doble Vida (Remastered),https://i.scdn.co/image/ab67616d0000b27382cf3a9e2e2b6b1b3f994d38,Soda Stereo,https://p.scdn.co/mp3-preview/faeca977f5675822eea3f0e81bbbc27b3ad44e6a?cid=b1e13d47b67249bda69ed912bb4f7133,1988-10-09,220240,50,0.0147,0.668,0.885,0.37,0.131,-4.83,0.0284,123.824,4,
12,Disco Eterno,Sueno Stereo (Remastered),https://i.scdn.co/image/ab67616d0000b273b50bb73f2ef9047afa0644a4,Soda Stereo,https://p.scdn.co/mp3-preview/183fa8ef1e25175155c81f30fc477db758e3eace?cid=b1e13d47b67249bda69ed912bb4f7133,1995-10-09,346026,56,0.00224,0.549,0.795,0.188,0.293,-7.169,0.0268,150.076,4," 
 
  
 Me salí fuera de contexto 
 Practicar no te hace perfecto 
 Poner un disco eterno 
 Moverme con el sol 
 
  
 Un espíritu 
 A veces seguro 
 Otras veces incierto 
 Vengo a descubrir 
 Por qué este deseo crece 
  
 Entre los dos  
 Pasa un meridiano 
 Latitud  
 Vidas paralelas 
 Abrir el sueño stereo 
 Crear la dimensión 
 
  
 Sin disimular 
 Me voy desnudando con cada sonido 
 Alta fidelidad 
 Cuando este deseo crece 
 
  
 
  
 Un espíritu 
 A veces seguro otras veces incierto 
 Quiero descubrir 
 Por qué este deseo crece 
 
  
 Ooh"
13,Te Para 3,Cancion Animal (Remastered),https://i.scdn.co/image/ab67616d0000b273c451ed28353639e79b4d97d9,Soda Stereo,https://p.scdn.co/mp3-preview/98e9c0c457ab640d0cd9fecf592d538fa4929a42?cid=b1e13d47b67249bda69ed912bb4f7133,1990-10-09,145493,55,0.419,0.595,0.238,2.71e-05,0.153,-12.862,0.0322,116.638,3," 
 
  
 Las tazas sobre el mantel 
 La lluvia derramada 
 Un poco de miel un poco de miel 
 No basta 
 
  
 El eclipse no fue parcial 
 Y cegó nuestras miradas 
 Te ví que llorabas te ví que llorabas 
 Por él 
  
 Té para tres 
 
  
 Un sorbo de distracción 
 Buscando descifrarnos 
 No hay nada mejor no hay nada mejor 
 Que casa 
 
  
 Té para tres"
14,Estoy Azulado,Nada Personal (Remastered),https://i.scdn.co/image/ab67616d0000b273e28947f6ad2f100af9c1965a,Soda Stereo,https://p.scdn.co/mp3-preview/2ec27f62a9a06f41ed56ee418e1bb424b7f229b8?cid=b1e13d47b67249bda69ed912bb4f7133,1985-10-09,317013,54,0.3,0.655,0.843,0.116,0.0954,-6.519,0.0959,130.154,4," 
 
  
 Sola vino a mi ficción 
 Sin dudar a acompañarme 
 Signos  sin traducción 
 Silencio insuperable 
 
  
 ¿Cuanto habré cambiado 
 Que se habra gastado? 
 Podría comunicarme 
 Pero siento tanto la erosión 
  
 Cerca de su atracción 
 Tropiezo con mis manos 
 Sufro otra mutación 
 Un color azulado 
 
  
 Algo esta ligándome 
 Cuando estoy azulado 
 Quiero recuperarme a su lado 
 
  
 Azulado 
 
  
 A su lado cambiaría de color 
 A tu lado oh oh oh 
 A su lado cambiaría de color 
 A tu lado oh oh oh 
 
  
 Porque algo esta ligándome 
 Cuando estoy azulado 
 Quiero recuperarme 
 
  
  
  
 ¡Estoy azulado 
 Azulado ooh 
 Azulado 
 ¡Estoy"
15,Por Que No Puedo Ser Del Jet Set?,Soda Stereo (Remastered),https://i.scdn.co/image/ab67616d0000b2738fd9b16eb6bdd20c95717258,Soda Stereo,https://p.scdn.co/mp3-preview/2cc1b4ec49e88f25e404b5919b6e9e46ad3208e4?cid=b1e13d47b67249bda69ed912bb4f7133,1984-02-06,140346,55,0.0974,0.63,0.973,0.391,0.288,-3.356,0.135,178.183,4,
16,Paseando Por Roma,Sueno Stereo (Remastered),https://i.scdn.co/image/ab67616d0000b273b50bb73f2ef9047afa0644a4,Soda Stereo,https://p.scdn.co/mp3-preview/0ff3fa29b839844a9d27ec186435b8aa52f183c6?cid=b1e13d47b67249bda69ed912bb4f7133,1995-10-09,214186,53,0.000928,0.515,0.734,0.0461,0.09,-5.547,0.0357,127.746,4," 
 
 Ahora es hora de colgar 
 Estoy perdido en la línea 
 Son las doce y te llamé 
 Desespero 
 Pero es mejor decir adiós 
 E intentar Mañana 
 
 Ahora es hora de volver 
 Esta noche soy un simulcop 
 Todo el tiempo me encontré 
 Dando vueltas 
 Es extraña esta ciudad 
 O yo estoy fuera de escala 
 Ahora es hora y no fue ayer 
 Mis amigos 
 He cambiado pero aún mi corazón 
 Permanece intacto intacto tan intacto como ayer 
 Nada más para decir sólo 
 
 ¡Hasta Mañana"
17,Luna Roja,Dynamo (Remastered),https://i.scdn.co/image/ab67616d0000b273b755f1b1b4410d404fe21167,Soda Stereo,https://p.scdn.co/mp3-preview/446709707aab27ae55ea554971a202535d849524?cid=b1e13d47b67249bda69ed912bb4f7133,1992-10-09,330600,53,1.21e-05,0.331,0.543,0.533,0.0836,-8.584,0.0328,94.079,4," 
 
  
 Él salió y dejó la casa vacía 
 Se entregó al suave aire del desierto 
 Y entonces la vió 
 
  
 La luna roja 
 Sobre el mar negro 
 Luna roja 
  
 Primero león luego cordero 
 Ruega a Dios poder volver del desierto 
 Desde que vió 
 
  
 La luna roja 
 Sobre el mar negro 
 Luna Roja 
 
  
 Cuídame yo te cuidaré 
 Yo también pagué placeres ciegos 
 No quiero ver 
 
  
 La luna roja 
 Sobre el mar negro 
 Luna roja 
 Luna roja 
 
  
 Es peligrosa es peligrosa 
 Es peligrosa es peligrosa 
 Y te hace mortal y te hace mortal 
 Y te hace mortal"
18,Primavera 0,Dynamo (Remastered),https://i.scdn.co/image/ab67616d0000b273b755f1b1b4410d404fe21167,Soda Stereo,https://p.scdn.co/mp3-preview/98e3528ab96c9a9ca629f6f215c17e3074b41b5e?cid=b1e13d47b67249bda69ed912bb4f7133,1992-10-09,221440,54,0.00111,0.385,0.759,0.0448,0.0941,-6.72,0.0436,134.023,4," 
 
  
 Fluorescente azul luz que baña mis sentidos 
 Donde todo empieza a ser real 
 Siempre vuelve a dar nuevas chances una vuelta más 
 Entera 
 
  
 Nena tal vez fui un sueño de otro un rumbo incierto 
 La verdad es que nadie vive sin amor 
 Ahora estoy aquí temblando frágil en la multitud 
 Y la espero 
  
 Primavera cero 
 Primavera cero 
 
  
 El avión se va 
 Recuerdos del futuro juntos 
  
 
  
  
 Te espero 
 
  
 
  
 Aah aah aah aah 
 Aah aah aah aah 
 Aah aah aah aah 
 Aah aah 
 Ah-ah-ah ah-ah-ah ah-ah-ah ah-ah-ah 
 Ah-ah-ah ah-ah-ah ah-ah-ah ah-ah-ah 
 Ah-ah-ah ah-ah-ah 
 
  
 Primavera cero 
 Primavera cero 
 Primavera cero 
 Prima-ve-ra ce-ro"
19,Imagenes Retro,Nada Personal (Remastered),https://i.scdn.co/image/ab67616d0000b273e28947f6ad2f100af9c1965a,Soda Stereo,https://p.scdn.co/mp3-preview/b854f54ea3a69f77622f0228fbbcf603567355ce?cid=b1e13d47b67249bda69ed912bb4f7133,1985-10-09,229813,52,0.0814,0.67,0.932,0.00131,0.18,-4.395,0.0428,127.178,4," 
 
  
 Debo tomar el antídoto 
 Para romper con la rigidez 
 Vivo como un sonámbulo 
 Buscando pliegues en la pared oh 
 
  
 Telarañas 
 Sueño con telarañas 
 Telarañas que cuelgan de mí 
  
 Esto parece un museo de cera 
 Un simulacro demasiado real 
 Debo encontrar algún sitio afuera 
 Debo cambiar la escena 
 
  
 Entre telarañas 
 Sueño con telarañas 
 Telarañas que cuelgan de mí 
 
  
 Mis ojos perciben otra vez imágenes retro 
 Así es la trama de este film 
 Tu propio reflejo reflejo 
 
  
 Mis ojos perciben otra vez imágenes retro 
 Reproduciéndose sin fin 
 Dejándome inmóvil 
 
  
 Entre telarañas 
 Sueño con telarañas 
 Telarañas que cuelgan de mí 
 Telarañas 
 Sueño con telarañas 
 Telarañas 
 Telarañas que cuelgan de mí"
