,track,album,album_cover,artist,sample,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,lyrics
10,Tripa Y Corazón,La Renga,https://i.scdn.co/image/ab67616d0000b2731aa8c66e1c27469058e2b794,La Renga,https://p.scdn.co/mp3-preview/9870baa1af6ed1e7957529cd2733c8146620ce38?cid=b1e13d47b67249bda69ed912bb4f7133,1998-01-01,171293,52,0.000198,0.25,0.973,1.34e-05,0.297,-4.67,0.188,148.624,4,
11,A Tu Lado,Detonador de Sueños,https://i.scdn.co/image/ab67616d0000b2737a51862c5fd3f4070b2df5a6,La Renga,https://p.scdn.co/mp3-preview/c5e301d680d1e60856656e90c64be801505de11d?cid=b1e13d47b67249bda69ed912bb4f7133,2003-01-13,196585,52,0.000509,0.442,0.955,0.00622,0.205,-3.86,0.058,100.549,4,"Pobreza en los estómagos Más pobreza en la cabeza No queda nada a salvo de este gran error El mundo sigue así Tan terrible y abrumado Que sentirte a mi lado me hará mucho mejor Saltemos este muro y desaparezcamos, en un lugar seguro dejaremos el dolor No, no da refugio el cielo En una noche como hoy, de fuego Vaga tu alma en celo En su trampa el cazador sereno va a estar esperándote En esta soledad La que asila a tanta gente El que salve su vida, la perderá El mundo tan feliz, a su mal me ha acostumbrado Que sentirme a tu lado me hará mucho mejor Saltemos este muro y desaparezcamos, en un lugar seguro dejaremos el dolor No, no da refugio el cielo En una noche como hoy, de fuego Vaga tu alma en celo En su trampa el cazador sereno va a estar esperándote Al fin seremos todos Después que sólo seas uno Es un arte muy difícil cuando domina el temor El mundo tan hostil, nos lleva decapitados Que sentirme a tu lado me hará mucho mejor Saltemos este absurdo y desaparezcamos, en un lugar sagrado dejaremos el dolor No, no da refugio el cielo En una noche como hoy, de fuego Vaga tu alma en celo En su trampa el cazador sereno va a estar esperándote"
12,Lo Frágil De La Locura,Despedazado Por Mil Partes,https://i.scdn.co/image/ab67616d0000b2734b471c4c2e9187e94ef7fc6b,La Renga,,1996-01-01,259533,55,0.000677,0.293,0.911,7.85e-05,0.0402,-6.042,0.103,137.016,4,
13,En El Baldío,La Esquina Del Infinito,https://i.scdn.co/image/ab67616d0000b2731dad83ee2d8493f3f6d636c4,La Renga,https://p.scdn.co/mp3-preview/457a415e827e508b83866560e80405ba3efa2350?cid=b1e13d47b67249bda69ed912bb4f7133,2000-01-01,242840,53,0.0161,0.486,0.92,0.0,0.233,-6.111,0.0581,115.175,4,
14,El Twist Del Pibe,La Renga,https://i.scdn.co/image/ab67616d0000b2731aa8c66e1c27469058e2b794,La Renga,https://p.scdn.co/mp3-preview/3d5bd6d9cc960f3c82467549c699d2db3760679a?cid=b1e13d47b67249bda69ed912bb4f7133,1998-01-01,179826,50,0.0294,0.211,0.933,0.0,0.3,-5.295,0.255,187.508,4,"La vieja palabra destino Quiso sorprender a su suerte Le cruzó en medio del camino La sonrisa de la muerte Bellos dientes para una sonrisa, dijo Pero no para volver a verte Si el destino lo tiene planeado Echada estaba su suerte Lo que hay después de un espejismo Es la sed al veneno más fuerte Jugos que al paladar de la vida Lo embriaga y lo divierte Y en el frío de aquel invierno Le quedaba una cita pendiente Allá por el barrio de Lugano Jamás volveré a verte Será el intento a buscar Lo que valore tu vida Buscar termina en encontrar Pero cómo saber, si tuvo lo que quería Así como volver a empezar Todo termina de repente Pero no me digas adiós Sólo decime hasta siempre"
15,Corazón Fugitivo,Pesados Vestigios,https://i.scdn.co/image/ab67616d0000b2734241eab5268bc84d056caff3,La Renga,https://p.scdn.co/mp3-preview/9072adee400ad45d1f80579eee76cb1d8daf8e97?cid=b1e13d47b67249bda69ed912bb4f7133,2014-12-17,236013,51,0.0002,0.568,0.948,1.6e-05,0.499,-4.545,0.0309,132.012,4,
16,Las Cosas Que Hace,Detonador de Sueños,https://i.scdn.co/image/ab67616d0000b2737a51862c5fd3f4070b2df5a6,La Renga,https://p.scdn.co/mp3-preview/2778c06d6b344220f18cab00c209181156f3ed59?cid=b1e13d47b67249bda69ed912bb4f7133,2003-01-13,259903,51,0.000233,0.485,0.952,0.00198,0.364,-3.413,0.0498,122.559,4,"Ella vive en el, en el palacio de la risa y el dolor Y me hace señas porque yo la estoy mirando Y no tengo a dónde ir Se que me dirá que estaba Sola porque nunca me encontró Y porque ella ha besado la muerte Con los labios del corazón Ese pobre corazón que se muere por vivir Las cosas que hace, se manda con todo a todo Siempre le fue al riesgo fiel Y ha tratado sin razón De poderla convencer, que no trate de pensar Que la acepte como es, que por eso ella la eligió Quien fuera su gran mentor Lo ha dotado con el filo aquel Que sangra las venas del amor Él, el que te ha sabido desbocar A vos, que lo llevás con tanta fiebre en la piel Vos que cargas sus penas por error Y yo ya vivo en Él El palacio de la risa y el dolor Y te hago señas porque yo te estoy mirando Y no tenés a donde ir Te voy a decir que estaba Solo porque nunca te encontré Y porque yo también he besado la muerte Con los labios del corazón Ese pobre corazón que se muere por vivir Las cosas que hace, se manda con todo a todo Siempre le fue al riesgo fiel Y ha tratado sin razón De poderla convencer, que no trate de pensar Que la acepte como es, que por eso ella la eligió Quien fuera su gran mentor Lo ha dotado con el filo aquel
Que sangra las venas del amor Él, el que te ha sabido desbocar A vos, que lo llevás con tanta fiebre en la piel Vos que cargas sus penas por error"
17,Hablando De La Libertad,Despedazado Por Mil Partes,https://i.scdn.co/image/ab67616d0000b2734b471c4c2e9187e94ef7fc6b,La Renga,,1996-01-01,369000,52,0.000613,0.253,0.976,1.62e-05,0.131,-5.161,0.0777,147.637,4,"Hice a mi cuerpo amigo del viento y la distancia Y me fui a buscarle una verdad a mi corazón Algo tan grande como el cielo y las montañas Y tan pequeño como una gota de rocío Y ya no estuvo más conmigo mi corazón Se fue a posar en cada una de las cosas Y ya no estuvo más conmigo mi corazón Se fue a fundir con la escencia y la sabia Y ahora sólo un camino he de caminar Cualquier camino que tenga corazón Atravezando todo su largo sin aliento Dejando atrás mil razones en el tiempo Y morir queriendo ser libre, encontrar mi lado salvaje Ponerle alas a mi destino Romper los dientes de este engranaje Hice un lugar en el refugio de mis sueños Y guardé ahí mi tesoro más preciado Donde no llega el hombre con sus jaulas Ni la maquinaria de la supervivencia Me fue más facil intentar la vida Que venderla al intelecto y la conformidad Y ahora sólo un camino he de caminar Cualquier camino que tenga corazón Atravezando todo su largo sin aliento Dejando atrás mil razones en el tiempo Y morir queriendo ser libre, encontrar mi lado salvaje Ponerle alas a mi destino Romper los dientes de este engranaje"
18,Arte Infernal,La Esquina Del Infinito,https://i.scdn.co/image/ab67616d0000b2731dad83ee2d8493f3f6d636c4,La Renga,https://p.scdn.co/mp3-preview/c2a599237feb9cb924760bda102c87f4e963bd77?cid=b1e13d47b67249bda69ed912bb4f7133,2000-01-01,189800,46,0.0962,0.561,0.96,0.0,0.12,-4.708,0.0572,134.072,4,Ese adiós te rompió en pedazos Tus ganas de seguir Y él que sabe que ya no hay caso Está dispuesto a sufrir Las cuestiones de los fracasos Siempre fueron así No querés dormir en otros brazos Si te dan a elegir Los tallos de esas rosas Siempre van a lastimar Dios las hizo tan hermosas Con un arte infernal A un buen recurso apuestan los hombres Antes de decidir Esa botella no tiene nombre Y ahora me toca a mí Pero todo no termina tan pronto Aunque lo creas así Es el final y siempre empieza todo Corre el riesgo al vivir Los tallos de esas rosas Siempre van a lastimar Dios las hizo tan hermosas Con un arte infernal
19,San Miguel,Pesados Vestigios,https://i.scdn.co/image/ab67616d0000b2734241eab5268bc84d056caff3,La Renga,https://p.scdn.co/mp3-preview/8713bb2e03d6dc6e15422fd5eb3cb3ff882b1409?cid=b1e13d47b67249bda69ed912bb4f7133,2014-12-17,179213,49,0.00466,0.248,0.963,7.22e-05,0.34,-2.879,0.0699,202.839,4,Allá oíeste a los ángeles Pronunciar tu nombre A cada canción que habla de vos Nadie sabe por qué pero un día en la vida Todos tienen que partir Aunque nadie sabe hacia dónde Aunque nadie quiera dejarte ir Siempre habrá pintada una bandera Con los colores que hiciste vivir Y así sabrá el coro del cielo Que de los nuestros se fue el más bueno Y acá cantan tu canción Con la vanguardia del oeste Todos te verán venir Se oirá tu voz cantando donde Todo pueda existir Donde todo pueda existir...
