,track,album,album_cover,artist,sample,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,lyrics
10,Hell Patrol,Painkiller,https://i.scdn.co/image/ab67616d0000b27360db4ca924d17bc6754e89aa,Judas Priest,https://p.scdn.co/mp3-preview/adbc35af06ca6c6579986f274f444ccb77eccc4e?cid=b1e13d47b67249bda69ed912bb4f7133,1990-09-26,216533,55,0.000109,0.462,0.984,0.0325,0.0572,-4.987,0.144,112.672,3, Like wild fire comes roaring Mad whirlwind burning the road Black thunder white lightning Speed demons cry  The Hell Patrol The Hell Patrol  Night riders death dealers Storm bringers tear up the ground Fist flying eyes blazing Theyre glory bound  The Hell Patrol The Hell Patrol  Brutalize you neutralize you Going to go for your throat as you choke Then theyll vaporapeize you Terrorize you pulverize you Going to cut to the bone as you groan And theyll paratamize you    Chrome Masters steel Warriors Soul Stealers ripping out hearts Theyre Devil Dogs  The Hell Patrol The Hell Patrol
11,Angel,Angel Of Retribution,https://i.scdn.co/image/ab67616d0000b273367fe3409cb2741c0bfcdf66,Judas Priest,https://p.scdn.co/mp3-preview/00d9078a05cca4a25c3e1422aa02e4158ffeb3fa?cid=b1e13d47b67249bda69ed912bb4f7133,2005-02-28,264200,56,0.014,0.532,0.441,0.0,0.11,-7.86,0.0243,83.998,4, Angel put sad wings around me now Protect me from this world of sin So that we can rise again  Oh angel we can find our way somehow Escaping from the world were in To a place where we began  And I know well find a better place and peace of mind Just tell me that its all you want for you and me Angel wont you set me free  Angel remember how wed chase the sun Then reaching for the stars at night As our lives had just begun  When I close my eyes I hear your velvet wings and cry Im waiting here with open arms oh cant you see Angel shine your light on me  Angel well meet once more Ill pray When all my sins are washed away Hold me inside your wings and stay Oh angel take me far away  Put sad wings around me now Angel take me far away Put sad wings around me now So that we can rise again Put sad wings around me now Angel take me far away Put sad wings around me now So that we can rise again
12,Lightning Strike,Firepower,https://i.scdn.co/image/ab67616d0000b2735c48f1b63e4b70cf96ffb088,Judas Priest,https://p.scdn.co/mp3-preview/0c2d024480810d082dbff560d6a5189138e90c45?cid=b1e13d47b67249bda69ed912bb4f7133,2018-03-09,209453,55,1.69e-05,0.521,0.915,0.43,0.065,-5.705,0.0544,112.507,3," Ill bring you the head of the demon Im peeling the skin from his face The life that you lead is inhuman Its cause and effects a disgrace  Youre sowing the seeds of a nightmare from Hell Your prayers and your demons are tolling the bell  Walking through fire fates in my hands Waiting for lightning to strike Man on a wire bearing the brand Waiting for lightning to strike  Lightning to strike  Twisted dreams that are born from delusion The collusion of fear and torment Decimating to stem this contusion With a power-mad freaking intent  Youre sowing the seeds of a nightmare from Hell Your prayers and your demons lie dead where they fell  Walking through fire fates in my hands Waiting for lightning to strike Man on a wire bearing the brand Waiting for lightning to strike  Lightning to strike  Ill spin the world around reeling I have to when mankinds at stake I might be left broken and bleeding For its all in the fight that we make   Youre sowing the seeds of a nightmare from Hell Your prayers and your demons still tolling the bell
 Walking through fire fates in my hands Waiting for lightning to strike Man on a wire bearing the brand Waiting for lightning to strike  Lightning to strike  Lightning will strike"
13,Beyond the Realms of Death,Stained Class,https://i.scdn.co/image/ab67616d0000b273a4c79ec8f98d1866d266f5af,Judas Priest,https://p.scdn.co/mp3-preview/6e0285d69d472cfea38a34a80e5df831f1cbe085?cid=b1e13d47b67249bda69ed912bb4f7133,1978-10-27,409800,57,0.0381,0.287,0.716,3.24e-05,0.164,-5.653,0.0311,172.123,4," He had enough he couldnt take anymore He found a place in his mind and slammed the door No matter how they tried they couldnt understand They washed and dressed him fed him by hand  Yeah Ive left the world behind I am safe here in my mind Im free to speak with my own kind This is my life this is my life Ill decide not you  Withdrawn hed sit there stare blank into space No sign of life would flicker on his face Until one day he smiled it seemed as though with pride The wind kissed him goodbye and then he died  Yeah Ive left the world behind I am safe here in my mind Im free to speak with my own kind This is my life this is my life Ill decide not you  Keep the world with all its sin Its not fit for living in Yeah I will start again It can take forever and ever and ever and ever But I shall win   How many like him are there still? But to us all seem to have lost the will They lie in thousands plagued and lost Is nothing worth this bitter cost?
 Yeah Ive left the world behind I am safe here in my mind Im free to speak with my own kind This is my life this is my life Ill decide not you  Keep the world with all its sin Its not fit for living in   Beyond the realms of death"
14,Night Crawler,Painkiller,https://i.scdn.co/image/ab67616d0000b27360db4ca924d17bc6754e89aa,Judas Priest,https://p.scdn.co/mp3-preview/1821e71d5e9fb3a8c1078e022e85b2069578fdab?cid=b1e13d47b67249bda69ed912bb4f7133,1990-09-26,344360,56,0.000148,0.481,0.981,0.0555,0.144,-6.456,0.143,97.106,4," Howling winds keep screaming around And the rain comes pouring down Doors are locked and bolted now As the thing crawls into town  Straight out of Hell One of a kind Stalking his victim Dont look behind you  Night crawler Beware the beast in black Night crawler You know hes coming back Night crawler  Sanctuary is being sought Whispered prayers our last resort Homing in its cry distorts Terror struck they know theyre caught  Straight out of Hell One of a kind Stalking his victim Dont look behind you  Night crawler Beware the beast in black Night crawler You know hes coming back Night crawler
  As night is falling The end is drawing near Theyll hear Their last rites echo on the wind  Huddled in the cellar Fear caught in their eyes Daring not to move or breathe As the creature cries Fingernails start scratching On the outside wall Clawing at the windows ""Come to me"" it calls Atmospheres electric As it now descends the stairs Hiding in the darkness Is so futile from its glare Death comes in an instant As they hoped it would Souls ascend to heaven While it feasts on flesh and blood
 Straight out of Hell One of a kind Stalking his victim Dont look behind you  Night crawler Beware the beast in black Night crawler You know hes coming back Night crawler  Hes going to get you Hes going to get you Beware of the beast Night crawler Beware of the beast Hes going to get you Night crawler Straight out of hell Beware of the beast Hes going to get you"
15,The Sentinel,Defenders Of The Faith,https://i.scdn.co/image/ab67616d0000b273bc22adfbb796489be45491d2,Judas Priest,https://p.scdn.co/mp3-preview/6e04676e606d85d97a464b748eddc82d2b3f211d?cid=b1e13d47b67249bda69ed912bb4f7133,1984,302066,54,0.00268,0.15,0.863,0.00425,0.099,-5.145,0.103,185.664,4,"   Along deserted avenues steam begins to rise The figures primed and ready prepared for quick surprise Hes watching for a sign His life is on the line  Sworn to avenge Condemn to hell Tempt not the blade all fear the Sentinel  Dogs whine in the alleys smoke is on the wind From deep inside its empty shell a cathedral bell begins Ringing out its toll A storm begins to grow  Sworn to avenge Condemn to hell Tempt not the blade all fear the Sentinel  Amidst the upturned burned-out cars the challengers await And in their fists clutch iron bars with which to seal his fate Across his chest in scabbards rest the rows of throwing knives Whose razor points in challenged tests have finished many lives   Now facing one another the standoff eats at time Then all at once a silence falls as the bell ceases its chime Upon this sign the challengers with shrieks and cries rush forth The knives fly out like bullets upon their deadly course Screams of pain and agony rent the silent air Amidst the dying bodies blood runs everywhere The figure stands expressionless impassive and alone Unmoved by this victory and the seeds of death hes sown
 Sworn to avenge Condemn to hell Tempt not the blade all fear the Sentinel Sworn to avenge Condemn to hell Tempt not the blade all fear the Sentinel Sworn to avenge Condemn to hell Tempt not the blade all fear the Sentinel Sworn to avenge Condemn to hell Tempt not the blade all fear the Sentinel"
16,Before the Dawn,Killing Machine,https://i.scdn.co/image/ab67616d0000b2738192db1694959d5c711d39b3,Judas Priest,https://p.scdn.co/mp3-preview/b7da0557e40c7bb0a55f7cd517b811ab992ac688?cid=b1e13d47b67249bda69ed912bb4f7133,1979,203066,51,0.645,0.461,0.415,3.95e-06,0.108,-6.784,0.025,105.401,4," Before the dawn I hear you whisper In your sleep ""Dont let the morning take him"" Outside the birds begin to call As if to summon up my leaving  Its been a lifetime since I found someone Since I found someone who would stay Ive waited too long and now youre leaving Oh please dont take it all away   Its been a lifetime since I found someone Since I found someone who would stay Ive waited too long and now youre leaving Oh please dont take it all away  Before the dawn I hear you whisper In your sleep ""Dont let the morning take him"""
17,Metal Gods,British Steel,https://i.scdn.co/image/ab67616d0000b273be0e5ebab8c61469b1ff9f62,Judas Priest,https://p.scdn.co/mp3-preview/e24ae2554573926ab65deda3625fae52b6fe1759?cid=b1e13d47b67249bda69ed912bb4f7133,1980,238293,51,0.0265,0.578,0.854,0.00141,0.146,-6.558,0.0296,101.181,4, Weve taken too much for granted And all the time it had grown From techno seeds we first planted Evolved a mind of its own Marching in the streets Dragging iron feet Laser beaming hearts Ripping men apart  From off Ive seen my perfection Where we could do as we please In secrecy this infection Was spreading like a disease Hiding underground Knowing wed be found Fearing for our lives Reaped by robots scythes  Metal Gods Metal Gods   Metal Gods Metal Gods  Machines are taking all over With mankind in their command In time theyd like to discover How they can make their demand Better be the slaves To their wicked ways But meeting with our death Engulfed in molten breath 
18,A Touch of Evil,Painkiller,https://i.scdn.co/image/ab67616d0000b27360db4ca924d17bc6754e89aa,Judas Priest,https://p.scdn.co/mp3-preview/b88aa81c4125336ba4546fb9547101bfec8f2ff5?cid=b1e13d47b67249bda69ed912bb4f7133,1990-09-26,344400,51,0.000195,0.417,0.798,2.89e-05,0.0831,-4.967,0.0368,98.117,4," You mesmerize slowly Till I cant believe my eyes Ecstasy controls me What you give just serves me right Without warning youre here Like magic you appear I taste the fear  Im so afraid But I still feed the flame  In the night Come to me You know I want your touch of evil In the night Please set me free I cant resist a touch of evil  Aroused with desire You put me in a trance A vision of fire I never had a chance A dark angel of sin Preying deep from within Come take me in  Im so afraid But I still feed the flame  In the night Come to me You know I want your touch of evil In the night Please set me free I cant resist a touch of evil
  Arousing me now With a sense of desire Possessing my soul Until my bodys on fire A dark angel of sin Preying deep from within Come take me in Youre possessing me  In the night Come to me You know I want your touch of evil In the night Please set me free I cant resist a touch of evil  In the night Come to me You know I want your touch of evil In the night Please set me free I cant resist a touch of evil
 Touch of evil Touch of evil Touch of evil Touch"
19,Diamonds and Rust,Sin After Sin,https://i.scdn.co/image/ab67616d0000b273d05908f25aa68cae852a54f2,Judas Priest,https://p.scdn.co/mp3-preview/4333613357428c09d9e8766fcb1c0f93c1fcc19f?cid=b1e13d47b67249bda69ed912bb4f7133,1977-11-15,203533,47,0.0685,0.469,0.875,0.0,0.102,-5.072,0.0952,134.36,4," Ill be damned here comes your ghost again But thats not unusual Its just that the moon is full And you decided to call And here I sit hand on the telephone Hearing the voice Id known A couple of light years ago Heading straight for a fall  But we both know what memories can bring They bring diamonds and rust Yes we both know what memories can bring They bring diamonds and rust  Now I see you standing all around And snow in your hair Now were smiling out the window of the crummy hotel Over Washington Square Our breath comes on white clouds Mingles and hangs in the air Speaking strictly for me We both couldve died then and there  Now youre telling me youre not nostalgic Then give me another word for it You were so good with words And at keeping things vague Cause I need some of that vagueness now Its all come back too clearly Yes I love you dearly And if youre offering me diamonds and rust Ive already paid  But we both know what memories can bring They bring diamonds and rust Yes we both know what memories can bring They bring diamonds and rust
 Diamonds diamonds and rust Diamonds diamonds and rust Diamonds diamonds and rust Diamonds diamonds and rust"
